Monthly rainfall(in mm) trends for Sikar from 01-Jan-1901 to 20-Sep-2021

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jun-1949",41.5,23.51
"Jul-1949",172.9,231.78
"Aug-1949",137.5,19.74
"Sep-1949",57.8,42.14
"Oct-1949",7,6.82
"Nov-1949",3.1,0
"Dec-1949",3,0
"Jan-1950",6.9,2.26
"Feb-1950",8.4,0.33
"Mar-1950",3.7,4.94
"Apr-1950",3.5,0.25
"May-1950",20.2,12.08
"Jun-1950",41.5,10.79
"Jul-1950",172.9,282.95
"Aug-1950",137.5,111.09
"Sep-1950",57.8,94.73
"Oct-1950",7,0
"Nov-1950",3.1,0
"Dec-1950",3,0
"Jan-1951",6.9,2.49
"Feb-1951",8.4,0
"Mar-1951",3.7,9
"Apr-1951",3.5,12.69
"May-1951",20.2,8.4
"Jun-1951",41.5,37.44
"Jul-1951",172.9,32.51
"Aug-1951",137.5,130.86
"Sep-1951",57.8,2.01
"Oct-1951",7,1.04
"Nov-1951",3.1,16.99
"Dec-1951",3,0
"Jan-1952",6.9,0.14
"Feb-1952",8.4,6.53
"Mar-1952",3.7,2.78
"Apr-1952",3.5,6.52
"May-1952",20.2,2.02
"Jun-1952",41.5,48.4
"Jul-1952",172.9,139.9
"Aug-1952",137.5,132.31
"Sep-1952",57.8,1.69
"Oct-1952",7,0.11
"Nov-1952",3.1,0
"Dec-1952",3,0.1
"Jan-1953",6.9,13.27
"Feb-1953",8.4,0
"Mar-1953",3.7,0
"Apr-1953",3.5,5.38
"May-1953",20.2,7.09
"Jun-1953",41.5,57.43
"Jul-1953",172.9,87.84
"Aug-1953",137.5,262.55
"Sep-1953",57.8,26.15
"Oct-1953",7,0.03
"Nov-1953",3.1,0
"Dec-1953",3,3.3
"Jan-1954",6.9,12.95
"Feb-1954",8.4,27.14
"Mar-1954",3.7,2.97
"Apr-1954",3.5,0
"May-1954",20.2,0.06
"Jun-1954",41.5,18.62
"Jul-1954",172.9,228.82
"Aug-1954",137.5,22.14
"Sep-1954",57.8,119.34
"Oct-1954",7,19.46
"Nov-1954",3.1,0
"Dec-1954",3,0
"Jan-1955",6.9,8.06
"Feb-1955",8.4,1.45
"Mar-1955",3.7,0.72
"Apr-1955",3.5,0.82
"May-1955",20.2,3.59
"Jun-1955",41.5,124.04
"Jul-1955",172.9,56.39
"Aug-1955",137.5,256.36
"Sep-1955",57.8,99.44
"Oct-1955",7,100.46
"Nov-1955",3.1,0
"Dec-1955",3,0.22
"Jan-1956",6.9,17.65
"Feb-1956",8.4,0
"Mar-1956",3.7,10.51
"Apr-1956",3.5,2.1
"May-1956",20.2,0.26
"Jun-1956",41.5,10.56
"Jul-1956",172.9,320.34
"Aug-1956",137.5,139.43
"Sep-1956",57.8,16.39
"Oct-1956",7,139.86
"Nov-1956",3.1,6.35
"Dec-1956",3,4.73
"Jan-1957",6.9,31.98
"Feb-1957",8.4,0
"Mar-1957",3.7,13.19
"Apr-1957",3.5,0.13
"May-1957",20.2,6.93
"Jun-1957",41.5,50.01
"Jul-1957",172.9,261.55
"Aug-1957",137.5,104.72
"Sep-1957",57.8,53.06
"Oct-1957",7,19.54
"Nov-1957",3.1,1.13
"Dec-1957",3,6.27
"Jan-1958",6.9,0.56
"Feb-1958",8.4,0.01
"Mar-1958",3.7,0.58
"Apr-1958",3.5,0.7
"May-1958",20.2,6.63
"Jun-1958",41.5,24.05
"Jul-1958",172.9,166.83
"Aug-1958",137.5,63.8
"Sep-1958",57.8,186.35
"Oct-1958",7,3.9
"Nov-1958",3.1,10.08
"Dec-1958",3,2.41
"Jan-1959",6.9,1.09
"Feb-1959",8.4,0.79
"Mar-1959",3.7,0.08
"Apr-1959",3.5,0.58
"May-1959",20.2,51.96
"Jun-1959",41.5,18.36
"Jul-1959",172.9,149.8
"Aug-1959",137.5,140.59
"Sep-1959",57.8,110.53
"Oct-1959",7,27.45
"Nov-1959",3.1,8.44
"Dec-1959",3,0
"Jan-1960",6.9,0.46
"Feb-1960",8.4,0
"Mar-1960",3.7,3.76
"Apr-1960",3.5,0.67
"May-1960",20.2,11.28
"Jun-1960",41.5,35.43
"Jul-1960",172.9,127.4
"Aug-1960",137.5,240
"Sep-1960",57.8,16.82
"Oct-1960",7,1.11
"Nov-1960",3.1,0
"Dec-1960",3,6.79
"Jan-1961",6.9,7.68
"Feb-1961",8.4,18.66
"Mar-1961",3.7,0.19
"Apr-1961",3.5,0.14
"May-1961",20.2,4.86
"Jun-1961",41.5,33.81
"Jul-1961",172.9,166.01
"Aug-1961",137.5,162.99
"Sep-1961",57.8,86.22
"Oct-1961",7,3.56
"Nov-1961",3.1,8.06
"Dec-1961",3,0.83
"Jan-1962",6.9,0.29
"Feb-1962",8.4,0.56
"Mar-1962",3.7,4.56
"Apr-1962",3.5,0.49
"May-1962",20.2,1.73
"Jun-1962",41.5,0.4
"Jul-1962",172.9,259.43
"Aug-1962",137.5,121.36
"Sep-1962",57.8,72.27
"Oct-1962",7,0
"Nov-1962",3.1,0.09
"Dec-1962",3,5.44
"Jan-1963",6.9,0
"Feb-1963",8.4,2.29
"Mar-1963",3.7,0.65
"Apr-1963",3.5,2.74
"May-1963",20.2,3.29
"Jun-1963",41.5,37.73
"Jul-1963",172.9,67.57
"Aug-1963",137.5,221.12
"Sep-1963",57.8,85.95
"Oct-1963",7,0
"Nov-1963",3.1,15.28
"Dec-1963",3,1.81
"Jan-1964",6.9,0
"Feb-1964",8.4,0.05
"Mar-1964",3.7,0
"Apr-1964",3.5,0.11
"May-1964",20.2,40.88
"Jun-1964",41.5,4.96
"Jul-1964",172.9,199.9
"Aug-1964",137.5,392.06
"Sep-1964",57.8,67.2
"Oct-1964",7,0.02
"Nov-1964",3.1,0.01
"Dec-1964",3,4.34
"Jan-1965",6.9,1.86
"Feb-1965",8.4,7.44
"Mar-1965",3.7,2.46
"Apr-1965",3.5,7.31
"May-1965",20.2,2.95
"Jun-1965",41.5,18.88
"Jul-1965",172.9,105.64
"Aug-1965",137.5,85.71
"Sep-1965",57.8,37.91
"Oct-1965",7,10.61
"Nov-1965",3.1,0
"Dec-1965",3,0
"Jan-1966",6.9,0.17
"Feb-1966",8.4,3.26
"Mar-1966",3.7,0.05
"Apr-1966",3.5,0.01
"May-1966",20.2,30.05
"Jun-1966",41.5,56.07
"Jul-1966",172.9,86.62
"Aug-1966",137.5,156.22
"Sep-1966",57.8,59.23
"Oct-1966",7,1.09
"Nov-1966",3.1,1.62
"Dec-1966",3,0
"Jan-1967",6.9,0
"Feb-1967",8.4,0
"Mar-1967",3.7,24.85
"Apr-1967",3.5,4.11
"May-1967",20.2,3.86
"Jun-1967",41.5,69.9
"Jul-1967",172.9,124.57
"Aug-1967",137.5,208.95
"Sep-1967",57.8,57.95
"Oct-1967",7,4.95
"Nov-1967",3.1,9.32
"Dec-1967",3,79.04
"Jan-1968",6.9,18.53
"Feb-1968",8.4,5.34
"Mar-1968",3.7,11.96
"Apr-1968",3.5,0.13
"May-1968",20.2,8.98
"Jun-1968",41.5,1.51
"Jul-1968",172.9,314.62
"Aug-1968",137.5,35
"Sep-1968",57.8,0.31
"Oct-1968",7,5.13
"Nov-1968",3.1,0
"Dec-1968",3,0
"Jan-1969",6.9,2
"Feb-1969",8.4,2.21
"Mar-1969",3.7,7.78
"Apr-1969",3.5,2
"May-1969",20.2,7.15
"Jun-1969",41.5,11.32
"Jul-1969",172.9,118.24
"Aug-1969",137.5,100.77
"Sep-1969",57.8,104.01
"Oct-1969",7,0.01
"Nov-1969",3.1,0.01
"Dec-1969",3,0
"Jan-1970",6.9,6.44
"Feb-1970",8.4,38.27
"Mar-1970",3.7,0.92
"Apr-1970",3.5,0.01
"May-1970",20.2,9.7
"Jun-1970",41.5,48.49
"Jul-1970",172.9,117.41
"Aug-1970",137.5,277.33
"Sep-1970",57.8,89.43
"Oct-1970",7,2.11
"Nov-1970",3.1,0
"Dec-1970",3,0
"Jan-1971",6.9,4.52
"Feb-1971",8.4,0.1
"Mar-1971",3.7,0.37
"Apr-1971",3.5,1.13
"May-1971",20.2,118.48
"Jun-1971",41.5,132.64
"Jul-1971",172.9,146.92
"Aug-1971",137.5,104.05
"Sep-1971",57.8,34.87
"Oct-1971",7,11.44
"Nov-1971",3.1,4.85
"Dec-1971",3,0
"Jan-1972",6.9,1.28
"Feb-1972",8.4,0.16
"Mar-1972",3.7,0
"Apr-1972",3.5,1.12
"May-1972",20.2,1.03
"Jun-1972",41.5,47.74
"Jul-1972",172.9,56.14
"Aug-1972",137.5,177.25
"Sep-1972",57.8,0.87
"Oct-1972",7,2.32
"Nov-1972",3.1,0.73
"Dec-1972",3,0
"Jan-1973",6.9,5.8
"Feb-1973",8.4,2.94
"Mar-1973",3.7,0.28
"Apr-1973",3.5,1.24
"May-1973",20.2,24.36
"Jun-1973",41.5,9.34
"Jul-1973",172.9,159.48
"Aug-1973",137.5,217.5
"Sep-1973",57.8,53.88
"Oct-1973",7,0.01
"Nov-1973",3.1,0
"Dec-1973",3,0.17
"Jan-1974",6.9,0
"Feb-1974",8.4,0
"Mar-1974",3.7,0.13
"Apr-1974",3.5,0
"May-1974",20.2,11.25
"Jun-1974",41.5,46.5
"Jul-1974",172.9,332.71
"Aug-1974",137.5,74.63
"Sep-1974",57.8,3.38
"Oct-1974",7,52.37
"Nov-1974",3.1,0
"Dec-1974",3,10.04
"Jan-1975",6.9,4.16
"Feb-1975",8.4,0.11
"Mar-1975",3.7,0.53
"Apr-1975",3.5,0.51
"May-1975",20.2,5.08
"Jun-1975",41.5,55.05
"Jul-1975",172.9,268.79
"Aug-1975",137.5,265.15
"Sep-1975",57.8,125.19
"Oct-1975",7,33.79
"Nov-1975",3.1,0
"Dec-1975",3,0
"Jan-1976",6.9,4.17
"Feb-1976",8.4,5.83
"Mar-1976",3.7,1.02
"Apr-1976",3.5,1.12
"May-1976",20.2,16.59
"Jun-1976",41.5,115.73
"Jul-1976",172.9,136.26
"Aug-1976",137.5,220.32
